pnum,ospan,symspan,rspan,color,shape,space,orient,motion,colorK,shapek,raven,ns,cf,rel2,anti,drop48,picsource,pa,dfrp,ospanrt,symspanrt,rspanrt
82,45,32,54,2.75,3.54,4.84,2.76,1.55,3.47,3.6,11,10,37,0.21,0.56,0.4,0.93,0.8,0.67,3021,1297,4090
83,70,35,72,3.05,1.67,5.11,3.49,2,2.2,2.07,10,10,32,0.06,0.59,0.4,0.77,0.17,0.52,3893,4003,3248
84,73,31,62,4.82,3.61,5.26,1.6,2.57,2.27,1.53,10,10,30,0.06,0.67,-2,0.72,0.13,0.57,2439,1161,2278
85,60,24,55,3.33,1.53,5.53,1.54,2.63,2.07,1.4,14,12,35,0.02,0.69,0.27,0.82,0.23,0.57,1827,1299,2934
86,44,11,42,2.57,0,5.18,0.76,0,1.27,0.33,11,8,33,0.03,0.7,2.8,0.84,0.4,0.67,2866,1257,3477
87,71,24,53,1.81,1.21,3.59,0,0,0.6,0.2,9,8,31,0,0.56,0.27,0.46,0.33,0.52,1932.5,2206.5,5566
88,69,28,72,3.22,3.26,4.38,3,3.24,1.27,1.73,13,13,37,0.11,0.78,1.73,0.94,0.6,0.42,3786,2082,4779.5
89,36,18,25,2.52,3.2,4.02,1.58,0.7,0.6,0.93,7,7,24,0,0.63,-1.2,0.88,0.3,0.38,3804.5,2048,4503
90,61,27,70,2.78,1.86,5.68,1.41,1.57,1.93,1.27,9,10,31,0.14,0.42,0.93,0.73,0.73,0.68,2403.5,1662,3579
91,62,29,48,1.66,3.73,4.67,2.2,2.57,2,1.53,14,9,37,0.05,0.45,1.2,0.83,0.6,0.52,3944,1640.5,3805
92,70,40,70,1.77,3.78,4.07,1.67,1.92,1.53,1.6,16,8,33,-0.07,0.62,-1.68,0.58,0.33,0.63,2389,1175,3890
94,72,37,72,3.02,3.8,5.61,3.2,1.53,1.73,2.13,12,10,33,0.16,0.4,1.2,0.59,0.4,0.6,3326,1740,3734.5
95,74,33,63,2.61,2.83,5.53,1.57,2.06,1.6,1.73,15,6,38,0.15,0.8,0.48,0.79,0.83,0.57,4261,2044,3366.5
96,45,31,35,2.26,2.79,4.7,2.05,2.53,2.47,1.27,12,8,28,0.1,0.65,0.8,0.9,0.13,0.57,2741,1909.5,3331
97,69,33,58,2.23,2.09,5.35,1.71,1.69,1.53,0.87,12,7,32,0.13,0.8,1.2,0.81,0.13,0.5,4234,1955,4668.5
98,47,27,64,2.37,1.91,5.33,1.68,0.65,1.53,0.73,14,7,29,0.15,0.52,0.93,0.89,0.87,0.73,3105,1430,2909
99,62,30,65,3.22,4.28,4.43,2.48,2.6,2.87,1.8,11,9,37,0.16,0.75,0.13,0.99,0.97,0.88,3225,1228,2255.5
100,61,37,61,4.68,3.81,5.81,3.71,3.62,1.33,2.2,12,14,46,-0.11,1,-0.53,0.96,0.73,0.77,2348.5,1349,2511
101,71,39,75,3.05,2.5,5.63,2.23,3.31,2.4,3.47,14,13,37,0.15,0.82,-0.13,0.87,0.9,0.68,1768,1448.5,2270
102,58,36,64,3.67,0,5.33,2.16,1.39,2.53,0.93,10,9,32,0.12,0.73,0.27,0.87,0.77,0.55,3340.5,2054,3174
104,63,36,68,2.54,2.06,5.03,1.58,1.26,2.07,1.53,12,12,43,0.16,0.76,0.67,0.92,0.7,0.6,2494,1855,3316
105,50,35,51,2.38,3.53,5.55,1.47,2.66,2.33,1.53,14,11,35,0.05,0.72,1.2,0.99,0.7,0.75,3138,2138.5,3186
106,66,38,66,2.05,2.59,4.44,2.47,2.39,3,2.73,9,8,37,0.1,0.5,0,0.71,0.27,0.57,2930,1922.5,3851.5
107,38,14,51,2.31,2.53,5.22,2.21,1.29,1.73,2.27,13,8,34,0.05,0.59,0.27,0.82,0.5,0.58,3264,2107,3716
108,66,27,57,1.74,0,3.09,0.81,0.7,1.93,1.27,8,7,42,0.12,0.69,1.07,0.73,0.87,0.62,4170,1817,4518.5
109,73,37,66,4.13,3.76,5.3,3.84,2.29,2.6,2.8,11,13,39,0.11,0.58,0.8,0.99,0.4,0.62,2920,1564,3293
110,53,35,55,2.42,2.68,4.46,2.54,1.42,1.87,1.13,10,8,33,0.11,0.5,1.07,0.83,0.3,0.42,2838.5,1414,4538
111,16,15,38,1.29,0,4.47,2.84,2.3,1.93,1.07,10,12,28,0.08,0.56,0.53,0.63,0.23,0.42,5229.5,3936,4878
112,66,27,71,1.56,0,3.43,1.4,2.51,2.27,2.53,15,7,37,0.11,0.57,0.27,0.99,0.8,0.58,4087,1551.5,5062
115,63,39,66,3.2,1.04,5.25,3.31,2,3.2,2.07,13,7,40,0.09,0.92,1.07,0.72,1,0.85,2372.5,1743,2079
116,45,25,31,1.14,0,3.89,0,1.57,1,1.6,10,12,40,0.1,0.72,1.87,0.69,0.43,0.47,2441,2159,3584.5
117,61,37,45,2.66,1.98,5.08,2.43,1.64,1.33,0.4,11,15,38,0.15,0.72,1.07,0.83,0.13,0.53,2530,1816,3296
118,50,25,43,1.85,1.74,4.84,1.69,2.48,2.07,1.6,9,8,30,0.15,0.57,0.4,0.62,0.23,0.52,2791,2540,2980
119,73,41,75,2.75,3.75,5.29,2.72,2.92,2.53,2.07,14,12,39,0.08,0.9,0.27,0.82,0.7,0.7,2651.5,2225,3362
120,69,36,56,3.9,3.98,5.1,2.75,2.26,3.07,2.87,12,8,37,0.08,0.79,-2.8,0.82,0.27,0.53,2611,1783,3854
121,58,35,63,1.7,3.57,5.29,1.77,2.09,1.6,1.47,11,10,41,0.05,0.73,1.2,0.97,0.7,0.57,3650,2174.5,3712
123,75,41,73,4.16,2.74,5.39,3.45,3.18,3.2,1.53,18,14,40,0.01,0.59,-1.07,0.77,0.97,0.87,2725.5,1684,3294
124,61,38,53,1.55,0.97,4.53,1.29,1.27,1.47,2.4,13,10,27,0.13,0.72,0.53,0.66,0.1,0.38,3270.5,1611,5119
